"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Nov-2021","EQ","2,825.00","2,855.70","2,801.00","2,821.50","2,829.90","2,817.50","2,835.30","3,250.20","2,311.10","1,81,642","51,50,08,926.40","17,663"
"23-Nov-2021","EQ","2,753.80","2,832.90","2,744.50","2,753.15","2,828.00","2,821.50","2,802.03","3,250.20","2,311.10","1,18,889","33,31,30,023.15","15,825"
"22-Nov-2021","EQ","2,791.30","2,806.00","2,735.30","2,791.30","2,757.90","2,753.15","2,757.92","3,250.20","2,311.10","1,27,850","35,25,99,948.70","8,952"
"18-Nov-2021","EQ","2,838.00","2,839.40","2,770.05","2,834.40","2,780.35","2,791.30","2,800.65","3,250.20","2,311.10","1,79,956","50,39,93,048.20","14,670"
"17-Nov-2021","EQ","2,789.05","2,842.30","2,751.65","2,789.05","2,830.00","2,834.40","2,820.57","3,250.20","2,311.10","1,25,980","35,53,35,387.50","11,302"
"16-Nov-2021","EQ","2,794.65","2,840.00","2,770.00","2,794.65","2,775.00","2,789.05","2,811.96","3,250.20","2,311.10","2,49,852","70,25,73,154.55","13,054"
"15-Nov-2021","EQ","2,815.80","2,815.80","2,770.05","2,791.35","2,786.75","2,794.65","2,790.37","3,250.20","2,311.10","3,03,181","84,59,85,738.60","18,448"
"12-Nov-2021","EQ","2,834.60","2,840.00","2,751.00","2,834.60","2,792.00","2,791.35","2,778.49","3,250.20","2,311.10","7,54,595","2,09,66,33,275.25","38,146"
"11-Nov-2021","EQ","2,825.95","2,898.80","2,810.25","2,825.95","2,837.00","2,834.60","2,858.24","3,250.20","2,311.10","3,15,774","90,25,57,614.80","23,164"
"10-Nov-2021","EQ","2,830.00","2,834.70","2,762.60","2,847.35","2,827.00","2,825.95","2,794.61","3,250.20","2,311.10","5,18,105","1,44,79,02,530.80","23,819"
"09-Nov-2021","EQ","2,902.00","2,915.00","2,834.40","2,902.75","2,854.00","2,847.35","2,863.98","3,250.20","2,311.10","1,34,575","38,54,20,674.10","14,183"
"08-Nov-2021","EQ","2,829.35","2,913.00","2,784.70","2,819.35","2,897.00","2,902.75","2,840.47","3,250.20","2,311.10","1,59,535","45,31,53,646.25","11,094"
"04-Nov-2021","EQ","2,815.00","2,828.10","2,815.00","2,804.25","2,820.70","2,819.35","2,821.18","3,250.20","2,311.10","5,187","1,46,33,443.60","639"
"03-Nov-2021","EQ","2,831.00","2,844.50","2,788.45","2,839.05","2,803.00","2,804.25","2,813.97","3,250.20","2,311.10","2,31,376","65,10,86,229.65","15,377"
"02-Nov-2021","EQ","2,889.50","2,899.00","2,824.00","2,879.40","2,840.00","2,839.05","2,862.48","3,250.20","2,311.10","2,42,634","69,45,35,823.85","10,485"
"01-Nov-2021","EQ","2,875.00","2,890.00","2,848.95","2,860.40","2,889.90","2,879.40","2,869.96","3,250.20","2,311.10","74,742","21,45,06,350.45","9,708"
"29-Oct-2021","EQ","2,803.35","2,890.00","2,768.00","2,783.30","2,870.00","2,860.40","2,841.63","3,250.20","2,311.10","1,68,887","47,99,14,002.45","14,775"
"28-Oct-2021","EQ","2,821.50","2,849.00","2,766.00","2,821.45","2,789.00","2,783.30","2,794.07","3,250.20","2,311.10","2,74,092","76,58,31,687.25","16,711"
"27-Oct-2021","EQ","2,928.95","2,958.95","2,810.00","2,944.25","2,812.00","2,821.45","2,868.05","3,250.20","2,311.10","4,38,648","1,25,80,64,110.35","30,617"
"26-Oct-2021","EQ","3,114.00","3,114.80","2,935.05","3,084.00","2,948.75","2,944.25","2,979.16","3,250.20","2,311.10","2,52,759","75,30,10,479.35","17,926"
"25-Oct-2021","EQ","2,984.95","3,149.95","2,881.00","2,969.40","3,141.85","3,084.00","3,024.27","3,250.20","2,311.10","2,02,556","61,25,83,765.15","15,573"
"22-Oct-2021","EQ","3,022.55","3,057.35","2,953.05","3,012.55","2,982.90","2,969.40","3,002.30","3,250.20","2,311.10","72,499","21,76,63,893.70","12,311"
"21-Oct-2021","EQ","3,012.05","3,029.10","2,951.35","2,982.25","3,019.65","3,012.55","2,991.69","3,250.20","2,311.10","1,17,058","35,02,01,183.00","8,816"
"20-Oct-2021","EQ","3,095.25","3,095.25","2,935.60","3,072.95","2,985.00","2,982.25","2,994.89","3,250.20","2,311.10","1,89,888","56,86,93,158.00","21,151"
"19-Oct-2021","EQ","3,120.00","3,145.85","3,063.35","3,111.75","3,093.35","3,072.95","3,097.58","3,250.20","2,311.10","99,484","30,81,59,808.25","9,939"
"18-Oct-2021","EQ","3,140.00","3,140.00","3,081.85","3,130.40","3,102.85","3,111.75","3,106.37","3,250.20","2,311.10","76,368","23,72,27,580.80","9,065"
"14-Oct-2021","EQ","3,135.00","3,180.00","3,109.50","3,127.35","3,120.55","3,130.40","3,141.02","3,250.20","2,311.10","51,346","16,12,78,811.15","5,038"
"13-Oct-2021","EQ","3,128.55","3,160.10","3,102.60","3,113.55","3,134.85","3,127.35","3,128.07","3,250.20","2,311.10","65,625","20,52,79,870.00","7,496"
"12-Oct-2021","EQ","3,166.90","3,195.80","3,067.40","3,167.20","3,107.00","3,113.55","3,112.38","3,250.20","2,311.10","1,55,550","48,41,30,882.85","7,944"
"11-Oct-2021","EQ","3,085.00","3,203.00","3,084.05","3,075.30","3,178.45","3,167.20","3,157.03","3,250.20","2,311.10","1,01,490","32,04,07,244.95","7,526"
"08-Oct-2021","EQ","3,081.20","3,112.00","3,051.05","3,074.25","3,078.00","3,075.30","3,084.35","3,250.20","2,311.10","53,696","16,56,17,147.15","4,817"
"07-Oct-2021","EQ","3,067.00","3,110.00","3,062.10","3,064.95","3,077.95","3,074.25","3,075.05","3,250.20","2,311.10","61,332","18,85,98,769.90","5,286"
"06-Oct-2021","EQ","3,129.90","3,141.50","3,058.05","3,129.30","3,060.20","3,064.95","3,094.36","3,250.20","2,311.10","56,256","17,40,76,140.40","5,351"
"05-Oct-2021","EQ","3,129.55","3,149.00","3,102.00","3,129.55","3,124.00","3,129.30","3,129.44","3,250.20","2,311.10","39,335","12,30,96,690.60","5,759"
