,,Torrent Pharmaceuticals Ltd.,,,,Nifty 50,,
DATE,,PREV. CLOSE,CLOSE,Daily Return,,OPEN,CLOSE,Daily Return %
22-11-2024,,3101.95,3167.1,2.100291752,,23411.8,23907.25,2.116240528
21-11-2024,,3094.85,3101.95,0.22941338,,23488.45,23349.9,-0.58986438
19-11-2024,,3105.6,3094.85,-0.346148892,,23529.55,23518.5,-0.046962224
18-11-2024,,3102.4,3105.6,0.103145952,,23605.3,23453.8,-0.641805018
14-11-2024,,3116.6,3102.4,-0.455624719,,23542.15,23532.7,-0.040140769
13-11-2024,,3151.05,3116.6,-1.093286365,,23822.45,23559.05,-1.105679726
12-11-2024,,3151.65,3151.05,-0.019037647,,24225.8,23883.45,-1.413162826
11-11-2024,,3199.85,3151.65,-1.506320609,,24087.25,24141.3,0.224392573
08-11-2024,,3162.95,3199.85,1.166632416,,24207.7,24148.2,-0.245789563
07-11-2024,,3209.9,3162.95,-1.462662388,,24489.6,24199.35,-1.185196982
06-11-2024,,3184.15,3209.9,0.808693058,,24308.75,24484.05,0.721139507
05-11-2024,,3200.55,3184.15,-0.512411929,,23916.5,24213.3,1.240984258
04-11-2024,,3205.3,3200.55,-0.148192057,,24315.75,23995.35,-1.317664477
01-11-2024,,3202.65,3205.3,0.082743978,,24302.75,24304.35,0.006583617
31-10-2024,,3137.8,3202.65,2.066734655,,24349.85,24205.35,-0.593432814
30-10-2024,,3215.65,3137.8,-2.420972432,,24371.45,24340.85,-0.125556748
29-10-2024,,3316.7,3215.65,-3.046703048,,24328.85,24466.85,0.567227797
28-10-2024,,3432.85,3316.7,-3.383486025,,24251.1,24339.15,0.363076314
25-10-2024,,3321.3,3432.85,3.358624635,,24418.05,24180.8,-0.971617308
24-10-2024,,3318.95,3321.3,0.070805526,,24412.7,24399.4,-0.05447984
23-10-2024,,3339.65,3318.95,-0.619825431,,24378.15,24435.5,0.23525165
22-10-2024,,3392.5,3339.65,-1.557848195,,24798.65,24472.1,-1.316805552
21-10-2024,,3449.5,3392.5,-1.652413393,,24956.15,24781.1,-0.701430309
18-10-2024,,3396.65,3449.5,1.555944828,,24664.95,24854.05,0.766674978
17-10-2024,,3515.35,3396.65,-3.376619682,,25027.4,24749.85,-1.108984553
16-10-2024,,3497.6,3515.35,0.507490851,,25008.55,24971.3,-0.148949059
15-10-2024,,3489.95,3497.6,0.219200848,,25186.3,25057.35,-0.51198469
14-10-2024,,3497.05,3489.95,-0.203028267,,25023.45,25127.95,0.417608283
11-10-2024,,3443.25,3497.05,1.562477311,,24985.3,24964.25,-0.084249539
10-10-2024,,3557.25,3443.25,-3.204722749,,25067.05,24998.45,-0.273666028
09-10-2024,,3517.45,3557.25,1.131501514,,25065.8,24981.95,-0.334519545
08-10-2024,,3405.1,3517.45,3.299462571,,24832.2,25013.15,0.728690974
07-10-2024,,3473.55,3405.1,-1.97060644,,25084.1,24795.75,-1.149532971
04-10-2024,,3392.15,3473.55,2.399658034,,25181.9,25014.6,-0.664366072
03-10-2024,,3369.9,3392.15,0.660256981,,25452.85,25250.1,-0.796570914
01-10-2024,,3396.55,3369.9,-0.784619688,,25788.45,25796.9,0.032766607
30-09-2024,,3482.6,3396.55,-2.470855108,,26061.3,25810.85,-0.96100348
